page,title,header1,header2,header3,header4,content,ref,file
9,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),Đ1.1. Đo huyết áp và xác định các phân loại THA:,,"Để có một chẩn đoán THA chính xác, việc đo huyết áp cần được thực hiện đúng quy trình gồm ở cả môi
trường lâm sàng (phòng khám) (HAPK), huyết áp có thể được đo bằng thiết bị cơ bóp tay hoặc thiết bị tự
động, có thể có hoặc không có sự hiện diện của nhân viên y tế (TĐHAPK) và huyết áp ngoài phòng khám
(HANPK) gồm: Đo huyết áp tại nhà (HATN): Là HA do bệnh nhân tự thực hiện tại nhà bằng thiết bị được
chứng nhận. Đo huyết áp lưu động (HALĐ): Đo huyết áp ngoài phòng khám bằng thiết bị tự động trong thời
gian dài, thường là 24 giờ, đo tại các khoảng thời gian cố định giúp cung cấp thông tin đầy đủ hơn về các
chẩn đoán và phân loại THA sau (hình 3):
1. Tăng huyết áp bền vững (Sustained Hypertension):
• Huyết áp đo tại phòng khám (OBPM) ≥140/90 mmHg, hoặc
• HBPM ≥135/85 mmHg, hoặc
• ABPM (trung bình 24 giờ) ≥130/80 mmHg.
2. Tăng huyết áp áo choàng trắng (White-Coat Hypertension):
• OBPM ≥140/90 mmHg, nhưng HBPM <135/85 mmHg hoặc ABPM <130/80 mmHg (bình thường ngoài
phòng khám).
3. Tăng huyết áp ẩn giấu (Masked Hypertension):
• OBPM <140/90 mmHg (bình thường tại phòng khám) nhưng HBPM ≥135/85 mmHg hoặc ABPM ≥130/80
mmHg (tăng khi đo ngoài phòng khám).
4. Huyết áp không tăng (Not Elevated BP):
• Huyết áp trong giới hạn bình thường cả ở phòng khám và ngoài phòng khám. HATT/HATTr <120/70
mmHg",figure7,vnha_2024_tieuchuanchuandoantha_p10.json
11,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),"Đ1.2. Hướng dẫn thực hành về các phương pháp đo huyết áp (hình 3,10)",Đ1.2.1. Quy trình đo huyết áp tiêu chuẩn tại phòng khám (OBPM) ở tư thế ngồi:,"Máy đo
• Sử dụng các thiết bị đã được kiểm định chất lượng.
• Máy đo thủy ngân trước đây là tiêu chuẩn vàng, nhưng hiện không được sử dụng vì lý do an toàn.
Thay vào đó, máy đo điện tử đã được kiểm định được chấp nhận rộng rãi (xem danh sách tại stridebp.org).
• Các thiết bị đo không cần bao quấn (cuffless) hiện chưa đủ đáng tin cậy, nhưng có thể cung cấp thông tin
về nguy cơ tim mạch.
Chuẩn bị trước khi đo:
1. Nghỉ ngơi 5–10 phút để huyết áp ổn định.
2. Tránh dùng cà phê, trà, hút thuốc, hoặc vận động mạnh ít nhất 30 phút trước khi đo.
3. Đi vệ sinh trước khi đo vì bàng quang đầy có thể ảnh hưởng đến kết quả.
4. Ngồi thoải mái, lưng tựa ghế, chân đặt thẳng trên sàn và không bắt chéo chân.
Vị trí:
• Tay đặt trên bàn hoặc gối đệm, ngang mức tim.
• Cánh tay thư giãn và không bị che bởi quần áo.
Quy trình đo:
1. Quấn vòng bít:
• Vòng bít quấn quanh cánh tay, cách khuỷu tay 2–3 cm.
• Kích thước vòng bít phù hợp với chu vi cánh tay:
• Nhỏ (S): 22–26 cm
• Vừa (M): 27–34 cm
• Lớn (L): 35–44 cm
• Rất lớn (XL): 45–52 cm
• Phần bơm hơi trong vòng bít phải che ít nhất 2/3 chiều dài cánh tay.
2. Vận hành thiết bị:
• Máy điện tử: Nhấn nút khởi động để đo tự động.
• Máy cơ: Bơm vòng bít lên 30 mmHg trên mức huyết áp tâm thu dự kiến, sau đó xả hơi chậm và nghe
âm Korotkoff:
• Âm đầu tiên: Huyết áp tâm thu.
• Âm cuối cùng: Huyết áp tâm trương.
3. Ghi lại kết quả:
Ghi huyết áp tâm thu (số trên) và tâm trương (số dưới) cùng thời điểm đo.
Xác nhận kết quả:
• Đo 2 lần trong mỗi lần kiểm tra, cách nhau 1–2 phút, và lấy trung bình.
• Lần khám đầu tiên nên đo cả hai tay. Nếu có chênh lệch >10 mmHg ở huyết áp tâm thu giữa hai tay,
cần kiểm tra thêm vì có thể liên quan đến bệnh động mạch ngoại biên hoặc hẹp động mạch chủ.
Đo huyết áp tư thế đứng: Thực hiện khi thăm khám lần đầu THA hoặc mỗi lần tăng liều hay khi nghi ngờ
hạ HA cần phải đo huyết áp tư thế đứng; đo HA tư thế đứng vào thời điểm 1 phút, 3 phút sau khi đã nằm
hoặc ngồi có ghế tựa 5 phút, có sự giảm ≥ 20/10mmHg được xem có hạ HA tư thế (50, 51)
Đối với bệnh nhân có rung nhĩ (RN), ưu tiên phương pháp nghe tim thủ công bắt mạch.",,
11,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),"Đ1.2. Hướng dẫn thực hành về các phương pháp đo huyết áp (hình 3,10)",Đ1.2.2. Đo huyết áp tại nhà (HBPM): (xem đồng thuận HBPM),"• Các bước đầu như đo HAPK nhưng bệnh nhân tự đo HA sau huấn luyện bài bản.
• Xác định chẩn đoán THA áp dụng nguyên tắc “3,7-2-2”: Đo trong 3–7 ngày, 2 lần/ngày (sáng và tối),
mỗi lần đo 2 lần, cách nhau1- 2 phút.Trung bình HBPM có HATT/HATTr ≥ 135/85mmHg chẩn đoán
THA
• HBPM giúp phát hiện tăng huyết áp ẩn giấu hoặc tăng huyết áp áo choàng trắng.
• Tự theo dõi, tăng tuân thủ, liên kết thầy thuốc và bệnh nhân",,
11,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),"Đ1.2. Hướng dẫn thực hành về các phương pháp đo huyết áp (hình 3,10)",Đ1.2.3. Đo huyết áp lưu động 24 giờ (ABPM):,"ABPM ghi lại huyết áp liên tục trong 24 giờ để đánh giá biến thiên huyết áp. Phương pháp này rất hữu ích
trong:
• Phát hiện tăng huyết áp ẩn giấu hoặc áo choàng trắng.
• Đánh giá biến thiên huyết áp, bao gồm tăng huyết áp buổi sáng.
• Kiểm tra hiệu quả của thuốc hạ áp.",,
12,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),Đ1.4 Khuyến cáo đo HA:,,,table8,vnha_2024_khuyencaodoha_p12.json
13,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),"Đ1.5. PHÂN LOẠI THA THEO MỨC HA (xem phần I.1, bảng 1, 7)",,,table1,vnha_2024_plha_p3.json
13,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),Đ1.6. Một số các kiểu hình tăng huyết áp đặc biệt:,,"Định nghĩa: "" Kiểu hình THA (phenotype HTN) dùng để chỉ các kiểu hình hoặc đặc điểm cụ thể của bệnh lý
tăng huyết áp dựa trên những yếu tố có thể đo lường được, chẳng hạn như sự biến đổi huyết áp theo thời
gian, đáp ứng với điều trị hoặc cơ chế nền tảng. Phân loại kiểu hình giúp cá nhân hóa điều trị và đánh giá
rủi ro. Hiện có 12 kiểu hình THA, sau đây là một số kiểu hình đặc biệt.
a). THA buổi sáng: Đo HATN lúc sáng ngủ dậy sau đi tiểu (bàng quang trống), chưa uống thuốc, chưa ăn
sáng đo 1 lần và 1 giờ sau đo 1 lần nữa. Trung bình 2 lần có HA: ≥ 135/85mmHg chẩn đoán THA buổi sáng
(46)
b). Tăng huyết áp vọt (surge) buổi sáng là hiện tượng huyết áp tăng đột ngột vào buổi sáng, thường xảy ra
khi người bệnh vừa thức dậy, có thể dẫn đến nguy cơ cao hơn về các biến cố tim mạch, như đột quỵ và
nhồi máu cơ tim. Hiện có nhiều kiểu huyết áp tăng vọt buổi sáng và chưa có đồng thuận chung về ngưỡng
(1, 3, 46, 47). Vọt HA buổi sáng có ba loại chính: 1/ sự tăng vọt áp từ đáy trong giấc ngủ (sleep trough
surge) = HATT buổi sáng trừ HATT thấp nhất trong đêm. 2/ Vọt trước khi thức dậy (prewaking surge): HA
trung bình 2 giờ sau thức dậy trừ HATT trung bình 2 giờ trước khi thức dậy ttang từ > 20mmHg. 3/ HA tăng
vọt đang lên (Rising BP surge) = HATT buổi sáng khi thức dậy trừ HATT ở tư thế nằm buổi sáng <30’, thuật
ngữ dùng để mô tả sự tăng huyết áp diễn ra khi bạn chuyển từ trạng thái nằm/ngủ sang trạng thái thức dậy
và vận động (Hình 8,9,). (46, 48, 49)
c) Tăng huyết áp ban đêm: Gồm 2 dạng:
THA duy trì ngày đêm: Huyết áp tăng cao cả ban ngày và ban đêm.
THA ẩn giấu ban đêm (THA ban đêm đơn độc) khi HALĐ ban đêm trung bình ≥ 120/70mmHg, HALĐ 24 giờ
< 130/80 mmHg, HALĐ ban ngày < 135/85mmHg. HATT thường giảm 10%–20% trong khi ngủ (41). Bốn
kiểu HA giảm sau đây được định nghĩa theo mức giảm trung bình của HA ban đêm so với ban ngày: giảm
cực đại (extreme dipper): >20%; giảm (dipper): 10%−20%; không giảm (non-dipper) <10%; tăng nghịch
đảo (giảm ngược) (reverse dipper). Sinh lý bình thường giảm 10-20%. Các nghiên cứu hiện tại chỉ ra rằng
THA ban đêm đơn độc có xu hướng thường gặp ở người lớn tuổi, giới tính nam, chỉ số khối cơ thể (BMI)
cao hơn, uống nhiều rượu hơn, nhịp tim nhanh hơn vào ban đêm và mức cholesterol trong máu tăng cao
hoặc glucose máu cao, bệnh thận mạn, ĐTĐ; hội chứng ngưng thở khi ngủ do tắc nghẽn (OSA)... THA ban
đêm có tiên lượng xấu liên quan với tử vong cao hơn THAPK (41-45). Tăng huyết áp ban đêm liên quan
đến tăng nguy cơ bệnh tim mạch, bệnh mạch máu não bao gồm đột quỵ, sa sút trí tuệ và bệnh Alzheimer
ở nam giới lớn tuổi (45). HA ban đêm giảm cực đại, đặc biệt ở bệnh nhân chưa được điều trị, cũng làm
tăng nguy cơ các biến cố (Hình 9). Điều trị THA về đêm: Hiện chưa có bằng chứng đáng tin cậy rằng thuốc
hạ HA nên được dùng vào buổi tối để điều trị THA về đêm. Điều trị THA ban đêm như THA có các bệnh
đồng mắc hoặc THA thứ phát hình 14.1(3, 4)",,
14,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),Đ1.7. Tự theo dõi liên tục và tăng cường hợp tác bệnh nhân và bác sĩ,,"- Sau khi đã có chẩn đoán, bệnh nhân được khuyến khích tiếp tục tự đo HATN hàng ngày để giám sát và
duy trì tuân thủ kiểm soát huyết áp. Điều này giúp phát hiện sớm các xu hướng bất thường trong trị số
huyết áp và theo dõi hiệu quả của các biện pháp điều trị.
- Bệnh nhân nên có máy đo HATN để có thể theo dõi từ xa với tự đo HATN loại mới có thể cung cấp các
thông số cần thiết để quản lý tốt HA, được xem là phương pháp theo dõi trung tâm cá thể hóa (59).
-Theo dõi liên tục không chỉ giúp bác sĩ có dữ liệu thực tế về sự thay đổi huyết áp trong thời gian dài, mà
còn giúp bệnh nhân có ý thức tốt hơn về tình trạng sức khỏe của mình. Bệnh nhân cũng có thể ghi chép
hoặc sử dụng các ứng dụng theo dõi để lưu trữ số liệu huyết áp, giúp bác sĩ đánh giá và điều chỉnh điều trị
kịp thời.
- Khi bệnh nhân thực hiện việc tự đo và ghi chép huyết áp, họ sẽ cảm thấy có trách nhiệm và tham gia tích
cực hơn vào quá trình điều trị. Thông qua các buổi tái khám định kỳ, bệnh nhân có thể thảo luận về kết quả
theo dõi với bác sĩ, từ đó cải thiện sự hợp tác giữa hai bên và giúp bác sĩ có đủ thông tin để xây dựng kế
hoạch điều trị phù hợp nhất.
",,
14,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",I.Đ1 - ĐO CHẨN ĐOÁN THEO DÕI HUYẾT ÁP. (BLOOD PRESSURE – DIAGNOSE),,,"Tóm lại: Đ1 - ĐO HUYẾT ÁP – (Track BP) trong lộ trình 5Đ thực hành lâm sàng giúp tạo nền tảng cho việc
chẩn đoán chính xác và theo dõi sát sao tình trạng huyết áp của bệnh nhân. Đây là bước đầu tiên, nhưng
rất quan trọng, để bác sĩ có thể chẩn đoán và đánh giá hiệu quả điều trị và đưa ra các quyết định chính xác
nhằm cải thiện sức khỏe tim mạch của bệnh nhân, bệnh nhân được trao quyền tự do và tự theo dõi quản
lý huyết áp của mình",,
15,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",II.Đ2. ĐÁNH GIÁ TOÀN DIỆN BỆNH NHÂN – (REVIEW PATIENT),Đ2.1. Khám toàn diện:,,"Nhằm thiết lập chẩn đoán đầy đủ toàn diện ở người bệnh có THA với các mức độ,
giai đoạn THA qua tiền sử cá nhân và gia đình, thăm khám lâm sàng, các xét nghiệm, sàng lọc nguyên
nhân THA thứ phát, các yếu tố tham gia phát triển THA, các yếu tố nguy cơ tim mạch đi kèm, tổn thương
cơ quan trung gian do THA (HMOD), các bệnh cảnh đồng mắc tim mạch, thận và não, theo hình 12 (4, 12,
60, 61).
Thực hiện qua các bước: Bệnh nhân đi khám sàng lọc đo huyết áp hay đi khám bệnh bất kỳ bệnh nào
thông qua kiểm tra HA, phát hiện có Tiền THA hoặc THA. Tiến hành khảo sát thăm khám toàn diện với hỏi
kỷ tiền sử y khoa, tiền sử dùng thuốc, khám lâm sàng toàn diện, xét nghiệm, tổng hợp phân tầng nguy cơ.
Mục đích của đánh giá lâm sàng là chẩn đoán tăng huyết áp chính xác, xác định đánh giá các yếu tố có
khả năng góp phần gây tăng huyết áp, xác định các yếu tố nguy cơ CVD khác, xác định các bệnh đi kèm
có liên quan, sàng lọc các nguyên nhân thứ phát tiềm ẩn gây tăng huyết áp (nếu có chỉ định) (bảng 9,10,11
và hình 11,12)
Từ đó thiết lập một chẩn đoán cụ thể đầy đủ và thảo luận thông báo cho bệnh nhân cùng quyết định chế
độ điều trị theo đúng chiến lược hoặc cần tham vấn thêm chuyên gia hội chẩn chuyển viện, theo hình 11.",table9,vnha_2024_tiensubenh_p16.json
17,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",II.Đ2. ĐÁNH GIÁ TOÀN DIỆN BỆNH NHÂN – (REVIEW PATIENT),Đ2.2. Các sàng lọc cơ bản và chi tiết (Bảng 10),,,table10,vnha_2024_sangloccoban_chitiet_p17.json
18,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",II.Đ2. ĐÁNH GIÁ TOÀN DIỆN BỆNH NHÂN – (REVIEW PATIENT),Đ2.3. Các ngưỡng bất thường cho các thông số đo lường xác định HMOD,,,table11,vnha_2024_cac_nguong_bat_thuong_p18.json
19,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",II.Đ2. ĐÁNH GIÁ TOÀN DIỆN BỆNH NHÂN – (REVIEW PATIENT),Đ2.4. Tăng huyết áp thứ phát,,"Tăng huyết áp thứ phát là một tình trạng có thể điều trị nếu xác định được nguyên nhân cơ bản. Việc chẩn
đoán và xử lý kịp thời không chỉ giúp kiểm soát huyết áp mà còn ngăn ngừa biến chứng nguy hiểm",,
19,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam",II.Đ2. ĐÁNH GIÁ TOÀN DIỆN BỆNH NHÂN – (REVIEW PATIENT),,,"Tóm lược 2Đ Đánh giá toàn diện (Review Patient) trong chiến lược 5Đ thực hành lâm sàng giúp các bác
sĩ có cái nhìn chẩn đoán toàn diện về tình trạng sức khỏe của bệnh nhân, giúp cá thể hóa và tối ưu hóa kế
hoạch điều trị. Bằng cách thực hiện đánh giá chi tiết và đa chiều, bác sĩ có thể xác định các yếu tố ảnh
hưởng đến huyết áp, giúp điều chỉnh điều trị để đạt được hiệu quả tốt nhất và giảm nguy cơ biến chứng.",,
19,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","III.Đ3. ĐIỀU TRỊ CÁ THỂ HÓA- ĐIỀU TRỊ BAN ĐẦU (ASSIGN INDIVIDUALIZED THERAPY
– INITIAL MANAGEMENT OF HTN)",Đ.3.4 Nhận thức về bệnh lý cùng quyết định điều trị đạt mục tiêu,,"- Trao đổi thảo luận với bệnh nhân đi đến thống nhất cùng quyết định chung về điều trị. Đây là một vấn đề
rất quan trọng. Cần dành thời gian thực hiện mô tả bệnh lý chính và tạo niềm tin về điều trị: ứng dụng trong
việc truyền đạt chẩn đoán tăng huyết áp cho bệnh nhân.
Khi truyền đạt chẩn đoán tăng huyết áp cho bệnh nhân, việc hiểu rõ các mô tả bệnh lý và niềm tin về điều
trị là vô cùng quan trọng. Cách bệnh nhân hiểu về bệnh lý tăng huyết áp, mức độ nguy hiểm của nó, và
niềm tin của họ về hiệu quả điều trị sẽ ảnh hưởng lớn đến việc tuân thủ điều trị và quản lý bệnh. Ngoài ra,
giới tính có thể ảnh hưởng đến cách bệnh nhân cảm nhận về bệnh và điều trị, do đó, cần phải lưu ý đến
yếu tố này khi giao tiếp với bệnh nhân.
- Nguyên nhân: Bệnh nhân thường muốn biết lý do gây tăng huyết áp. Đối với một số người, đặc biệt là
nam giới, nguyên nhân có thể được lý giải qua các yếu tố như căng thẳng, thói quen không lành mạnh hoặc
di truyền. Phụ nữ có thể liên hệ tăng huyết áp với các yếu tố như nội tiết, cảm xúc, hoặc lo lắng trong gia
đình.
- Triệu chứng: Một số bệnh nhân có thể cho rằng tăng huyết áp luôn có triệu chứng rõ rệt như đau đầu,
chóng mặt. Làm rõ rằng tăng huyết áp thường không có triệu chứng cụ thể và nhấn mạnh rằng việc đo
huyết áp định kỳ là quan trọng, ngay cả khi không có biểu hiện nào.
- Tính nghiêm trọng: Bệnh nhân cần hiểu rằng tăng huyết áp có thể dẫn đến các biến chứng nghiêm trọng
nếu không kiểm soát. Tuy nhiên, cách tiếp cận cần mềm mỏng, tránh gây lo lắng thái quá.
- Khả năng kiểm soát: Đảm bảo bệnh nhân hiểu rằng tăng huyết áp có thể được kiểm soát tốt qua thay
đổi lối sống và tuân thủ điều trị. Nam giới có thể có xu hướng nghĩ rằng tăng huyết áp là không tránh khỏi,
trong khi phụ nữ thường xem việc điều trị là khả thi hơn.",,
20,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","III.Đ3. ĐIỀU TRỊ CÁ THỂ HÓA- ĐIỀU TRỊ BAN ĐẦU (ASSIGN INDIVIDUALIZED THERAPY
– INITIAL MANAGEMENT OF HTN)",Đ3.5. Tạo niềm tin về điều trị (Treatment Beliefs),,"- Hiệu quả của điều trị: Một số bệnh nhân có thể nghi ngờ hiệu quả của thuốc, đặc biệt là nếu họ không
cảm thấy triệu chứng. Cần truyền tải rằng thuốc giúp ngăn ngừa biến chứng lâu dài, không chỉ là giảm triệu
chứng tức thời.
- Lo ngại về tác dụng phụ: Phụ nữ có thể lo lắng về tác dụng phụ của thuốc hơn so với nam giới. Điều này
cần được giải thích rõ ràng và thảo luận để trấn an bệnh nhân về hiệu quả và tính an toàn của thuốc khi
sử dụng đúng liều.
- Niềm tin về thay đổi lối sống: Nam giới thường đánh giá cao các biện pháp thay đổi lối sống (như tập
thể dục) hơn là dùng thuốc. Cung cấp các lựa chọn thay đổi lối sống phù hợp và khuyến khích phối hợp
giữa lối sống lành mạnh và điều trị dược lý.",,
20,Đồng Thuận Quan Điểm Của Một Số Chuyên Gia Của Phân Hội Tăng Huyết Áp VSH/ VNHA 2024 Về Chiến Lược Thực Hành Lâm Sàng Quản Lý Tăng Huyết Áp tại Việt Nam,"Phần II: Đồng Thuận Về Chiến Lược Thực Hành Lâm Sàng Quản Lý
Tăng Huyết Áp Tại Việt Nam","III.Đ3. ĐIỀU TRỊ CÁ THỂ HÓA- ĐIỀU TRỊ BAN ĐẦU (ASSIGN INDIVIDUALIZED THERAPY
– INITIAL MANAGEMENT OF HTN)",Đ3.6. Ứng dụng trong giao tiếp,,"- Cá thể hóa thông điệp: Sử dụng ngôn ngữ dễ hiểu và phù hợp với niềm tin và trải nghiệm của từng giới
tính. Ví dụ, nhấn mạnh lợi ích của việc duy trì sức khỏe để chăm sóc gia đình khi nói chuyện với phụ nữ,
hoặc khuyến khích trách nhiệm tự chăm sóc sức khỏe khi nói chuyện với nam giới.
- Tăng cường giáo dục: Giải thích rõ ràng về sự nguy hiểm của ""kẻ giết người thầm lặng"" này và vai trò
của bệnh nhân trong việc quản lý bệnh.
- Hổ trợ cảm xúc: Một số bệnh nhân, đặc biệt là phụ nữ, có thể cần thêm hỗ trợ về mặt cảm xúc khi nhận
chẩn đoán. Khuyến khích họ chia sẻ cảm xúc và giải tỏa những lo ngại về bệnh lý cũng như điều trị.
Như vậy, việc truyền đạt chẩn đoán tăng huyết áp nên dựa trên sự hiểu biết sâu sắc về các mô tả bệnh lý
và niềm tin về điều trị của bệnh nhân, đồng thời nhạy cảm với yếu tố giới tính để tối ưu hóa quá trình giao
tiếp và thúc đẩy tuân thủ điều trị.",,
